vehicleId,driverId,timestamp,engineState,speed_mph,odometer_miles,fuelLevel_pct,fuelTemperature_C,engineOilPressure_psi,engineHours_hr,longitudinalAcceleration_ms2,brakePosition_pct,fuelRate_L_per_hr,idleFuelConsumed_L,fuelIntegrated_L,fuel_drop_pct,distance_miles,miles_per_fuel_pct,is_idle,fuel_consumed_idle_L,fuel_consumed_moving_L,acceleration_abs,brake_intensity,driver_aggressiveness,engine_on_duration_sec,speed_bucket,fuel_rate_eff,refill_event,fuel_cycle,time_since_refill_sec,fuel_pct_remaining,fuel_burn_pct_per_sec,fuel_burn_pct_per_sec_smooth,fuel_time_to_empty_sec,fuel_time_to_empty_min,fuel_time_to_empty_hr,fuel_theft_flag,expected_fuel_drop,sudden_drop_trip_flag,fuel_efficiency_miles_per_pct,low_efficiency_flag,idle_fuel_flag,fuel_sensor_tamper_flag,fuel_leak_flag,consumption_rate_L_per_sec,fuel_time_to_empty_sec_v2,fuel_time_to_empty_hr_v2,fuel_per_mile,driver_fuel_efficiency_score,fuel_overheat_flag,fuel_level_alert,fuel_time_to_empty_alert
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:00,ON,47.99,4,84.76,39.6,50.8,0.08,-0.34,10,21.9,0,0.24,0,0,0,0,0,21.9,0.34,0.1,0.268,3600,1,27.7692,0,0,0,84.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006083333,13933.15068,3.870319635,0,0,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:05,ON,47.34,7.94,84.52,39.2,48.8,0.17,0.15,1,21.7,0,0.48,0.24,3.94,16.41666667,0,0,21.7,0.15,0.01,0.108,3600,1,24.0436,0,0,3600,84.52,6.67E-05,3.33E-05,2535600,42260,704.3333333,0,0.231342976,0,16.41666667,0,0,0,0,0.006027778,14021.75115,3.894930876,0.060913706,0.846382852,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:10,ON,50.89,12.19,84.27,39.2,49.8,0.25,-0.1,27,22.77,0,0.73,0.25,4.25,17,0,0,22.77,0.1,0.27,0.151,3600,1,26.20827,0,0,7200,84.27,6.94E-05,4.54E-05,1857379.592,30956.32653,515.9387755,0,0.249545088,0,17,0,0,0,0,0.006325,13323.32016,3.700922266,0.058823529,0.134861566,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:15,ON,58.47,17.06,83.98,39.1,52.9,0.33,0.12,43,25.04,0,1.02,0.29,4.87,16.79310345,0,0,25.04,0.12,0.43,0.213,3600,1,30.37352,0,0,10800,83.98,8.06E-05,5.42E-05,1550400,25840,430.6666667,0,0.285949313,0,16.79310345,0,0,0,0,0.006955556,12073.80192,3.353833866,0.059548255,0.297112236,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:20,ON,58.7,21.95,83.68,38.9,53.6,0.42,0.11,20,25.11,0,1.32,0.3,4.89,16.3,0,0,25.11,0.11,0.2,0.137,3600,1,28.55007,0,0,14400,83.68,8.33E-05,6.00E-05,1394666.667,23244.44444,387.4074074,0,0.287123643,0,16.3,0,0,0,0,0.006975,11997.13262,3.332536838,0.061349693,0.898928252,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:25,ON,57.91,26.78,83.39,38.1,55.9,0.5,-0.48,1,24.87,0,1.61,0.29,4.83,16.65517241,0,0,24.87,0.48,0.01,0.339,3600,1,33.30093,0,0,18000,83.39,8.06E-05,6.34E-05,1314762.044,21912.70073,365.2116788,0,0.283600653,0,16.65517241,0,0,0,0,0.006908333,12070.92883,3.353035786,0.060041408,0.527537958,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:30,ON,60.86,31.85,83.09,37.7,53.6,0.58,0,46,25.76,0,1.91,0.3,5.07,16.9,0,0,25.76,0,0.46,0.138,3600,1,29.31488,0,0,21600,83.09,8.33E-05,6.63E-05,1253813.174,20896.88623,348.2814371,0,0.297692611,0,16.9,0,0,0,0,0.007155556,11611.95652,3.225543478,0.059171598,0.190830604,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:35,ON,55.63,36.48,82.81,37.2,51.4,0.67,0.26,5,24.19,0,2.19,0.28,4.63,16.53571429,0,0,24.19,0.26,0.05,0.197,3600,1,28.95543,0,0,25200,82.81,7.78E-05,7.74E-05,1070160,17836,297.2666667,0,0.271857355,0,16.53571429,0,0,0,0,0.006719444,12323.93551,3.42331542,0.060475162,0.742929443,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:40,ON,50.96,40.73,82.56,37,51.1,0.75,0.34,43,22.79,0,2.44,0.25,4.25,17,0,0,22.79,0.34,0.43,0.367,3600,1,31.15393,0,0,28800,82.56,6.94E-05,7.78E-05,1061485.714,17691.42857,294.8571429,0,0.249545088,0,17,0,0,0,0,0.006330556,13041.50943,3.622641509,0.058823529,0.134117297,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:45,ON,57.99,45.56,82.27,37.1,55.3,0.83,0.42,7,24.9,0,2.73,0.29,4.83,16.65517241,0,0,24.9,0.42,0.07,0.315,3600,1,32.7435,0,0,32400,82.27,8.06E-05,7.94E-05,1036602,17276.7,287.945,0,0.283600653,0,16.65517241,0,0,0,0,0.006916667,11894.45783,3.304016064,0.060041408,0.52724025,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:50,ON,59.12,50.49,81.97,37.3,53.5,0.92,0.34,44,25.23,0,3.03,0.3,4.93,16.43333333,0,0,25.23,0.34,0.44,0.37,3600,1,34.5651,0,0,36000,81.97,8.33E-05,7.98E-05,1027683.582,17128.0597,285.4676617,0,0.289472303,0,16.43333333,0,0,0,0,0.007008333,11696.0761,3.248910028,0.060851927,0.832390592,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 0:55,ON,55.46,55.11,81.69,37.1,55,1,-0.22,44,24.14,0,3.31,0.28,4.62,16.5,0,0,24.14,0.22,0.44,0.286,3600,1,31.04404,0,0,39600,81.69,7.78E-05,7.90E-05,1034466.332,17241.10553,287.3517588,0,0.27127019,0,16.5,0,0,0,0,0.006705556,12182.43579,3.384009942,0.060606061,0.781780292,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 1:00,ON,49.71,59.25,81.44,37.4,52.8,1.08,0.23,32,22.41,0,3.56,0.25,4.14,16.56,0,0,22.41,0.23,0.32,0.257,3600,1,28.16937,0,0,43200,81.44,6.94E-05,7.74E-05,1052455.385,17540.92308,292.3487179,0,0.243086274,0,16.56,0,0,0,0,0.006225,13082.73092,3.634091923,0.060386473,0.707948794,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 1:05,ON,51.41,63.54,81.19,37.5,52.6,1.17,0.41,8,22.92,0,3.81,0.25,4.29,17.16,0,0,22.92,0.41,0.08,0.311,3600,1,30.04812,0,0,46800,81.19,6.94E-05,7.54E-05,1076835.789,17947.26316,299.1210526,0,0.251893748,0,17.16,0,1,0,0,0.006366667,12752.35602,3.542321117,0.058275058,0.094075618,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 1:10,ON,53.38,67.98,80.92,37.3,51.2,1.25,-0.19,23,23.51,0,4.08,0.27,4.44,16.44444444,0,0,23.51,0.19,0.23,0.202,3600,1,28.25902,0,0,50400,80.92,7.50E-05,7.50E-05,1078933.333,17982.22222,299.7037037,0,0.260701222,0,16.44444444,0,0,0,0,0.006530556,12390.98256,3.4419396,0.060810811,0.824947901,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 1:15,ON,56.04,72.65,80.64,36.6,54.1,1.33,0.06,34,24.31,0,4.36,0.28,4.67,16.67857143,0,0,24.31,0.06,0.34,0.144,3600,1,27.81064,0,0,54000,80.64,7.78E-05,7.62E-05,1058400,17640,294,0,0.274206015,0,16.67857143,0,0,0,0,0.006752778,11941.75237,3.317153435,0.059957173,0.479607026,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 1:20,ON,49.95,76.82,80.39,37,52.6,1.42,0.06,13,22.48,0,4.61,0.25,4.17,16.68,0,0,22.48,0.06,0.13,0.081,3600,1,24.30088,0,0,57600,80.39,6.94E-05,7.46E-05,1077568.085,17959.46809,299.3244681,0,0.244847769,0,16.68,0,0,0,0,0.006244444,12873.84342,3.576067616,0.059952038,0.476629949,0,LOW,LOW
VEH_001,68b89b2d4f65cd554d7511bd,11/01/2025 1:25,ON,49.85,80.97,80.14,36,52.6,1.5,-0.47,12,22.45,0,4.86,0.25,4.15,16.6,0,0,22.45,0.47,0.12,0.365,3600,1,30.64425,0,0,61200,80.14,6.94E-05,7.26E-05,1103567.213,18392.78689,306.5464481,0,0.243673439,0,16.6,0,0,0,0,0.006236111,12850.95768,3.569710468,0.060240964,0.637392081,0,LOW,LOW
