vehicleId,engineState,unixTime,timestamp,speed_mph,rpm,moving,engineHours_hr,odometer_miles,load_pct,engineCoolantTemp_F,engineCoolantLevel_pct,engineOilTemp_F,engineOilPressure
VEH_001,OFF,1704067200,01/01/2024 0:00,0,700,0,0,0,20,180,100,170,55
VEH_001,ON,1704067500,01/01/2024 0:05,10,900,1,0.08,0.01,30,195,95,190,45
VEH_001,ON,1704067800,01/01/2024 0:10,30,1200,1,0.17,0.06,31,210,90,210,35
VEH_001,ON,1704068100,01/01/2024 0:15,31,1600,1,0.25,0.1,60,220,85,230,25
VEH_001,ON,1704068400,01/01/2024 0:20,60,1800,1,0.33,0.18,61,235,80,245,15
VEH_001,ON,1704068700,01/01/2024 0:25,61,700,1,0.42,0.27,80,250,75,170,55
VEH_001,ON,1704069000,01/01/2024 0:30,80,900,1,0.5,0.38,20,180,100,190,45
VEH_001,OFF,1704069300,01/01/2024 0:35,0,1200,0,0.58,0.38,30,195,95,210,35
VEH_001,ON,1704069600,01/01/2024 0:40,10,1600,1,0.67,0.39,31,210,90,230,25
VEH_001,ON,1704069900,01/01/2024 0:45,30,1800,1,0.75,0.43,60,220,85,245,15
VEH_001,ON,1704070200,01/01/2024 0:50,31,700,1,0.83,0.48,61,235,80,170,55
VEH_001,ON,1704070500,01/01/2024 0:55,60,900,1,0.92,0.56,80,250,75,190,45
VEH_001,ON,1704070800,01/01/2024 1:00,61,1200,1,1,0.64,20,180,100,210,35
VEH_001,ON,1704071100,01/01/2024 1:05,80,1600,1,1.08,0.76,30,195,95,230,25
VEH_001,OFF,1704071400,01/01/2024 1:10,0,1800,0,1.17,0.76,31,210,90,245,15
VEH_001,ON,1704071700,01/01/2024 1:15,10,700,1,1.25,0.77,60,220,85,170,55
VEH_001,ON,1704072000,01/01/2024 1:20,30,900,1,1.33,0.81,61,235,80,190,45
VEH_001,ON,1704072300,01/01/2024 1:25,31,1200,1,1.42,0.85,80,250,75,210,35
VEH_001,ON,1704072600,01/01/2024 1:30,60,1600,1,1.5,0.94,20,180,100,230,25
VEH_001,ON,1704072900,01/01/2024 1:35,61,1800,1,1.58,1.02,30,195,95,245,15
VEH_001,ON,1704073200,01/01/2024 1:40,80,700,1,1.67,1.13,31,210,90,170,55
VEH_001,OFF,1704073500,01/01/2024 1:45,0,900,0,1.75,1.13,60,220,85,190,45
VEH_001,ON,1704073800,01/01/2024 1:50,10,1200,1,1.83,1.15,61,235,80,210,35
VEH_001,ON,1704074100,01/01/2024 1:55,30,1600,1,1.92,1.19,80,250,75,230,25
VEH_001,ON,1704074400,01/01/2024 2:00,31,1800,1,2,1.23,20,180,100,245,15
VEH_001,ON,1704074700,01/01/2024 2:05,60,700,1,2.08,1.32,30,195,95,170,55
VEH_001,ON,1704075000,01/01/2024 2:10,61,900,1,2.17,1.4,31,210,90,190,45
VEH_001,ON,1704075300,01/01/2024 2:15,80,1200,1,2.25,1.51,60,220,85,210,35
VEH_001,OFF,1704075600,01/01/2024 2:20,0,1600,0,2.33,1.51,61,235,80,230,25
VEH_001,ON,1704075900,01/01/2024 2:25,10,1800,1,2.42,1.52,80,250,75,245,15
VEH_001,ON,1704076200,01/01/2024 2:30,30,700,1,2.5,1.57,20,180,100,170,55
VEH_001,ON,1704076500,01/01/2024 2:35,31,900,1,2.58,1.61,30,195,95,190,45
VEH_001,ON,1704076800,01/01/2024 2:40,60,1200,1,2.67,1.69,31,210,90,210,35
VEH_001,ON,1704077100,01/01/2024 2:45,61,1600,1,2.75,1.78,60,220,85,230,25
VEH_001,ON,1704077400,01/01/2024 2:50,80,1800,1,2.83,1.89,61,235,80,245,15
VEH_001,OFF,1704077700,01/01/2024 2:55,0,700,0,2.92,1.89,80,250,75,170,55
VEH_001,ON,1704078000,01/01/2024 3:00,10,900,1,3,1.9,20,180,100,190,45
VEH_001,ON,1704078300,01/01/2024 3:05,30,1200,1,3.08,1.94,30,195,95,210,35
