vehicleId,driverId,timestamp,unixTime,engineState,speed_mph,engineHours_hr,odometer_miles,fuelLevel_pct,fuelTemperature_C,engineOilPressure_psi,longitudinalAcceleration_ms2,brakePosition_pct,fuelRate_L_per_hr,idleFuelConsumed_L,fuelIntegrated_L
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:00:00,1761937200,ON,47.99,0.08,4.0,84.76,39.6,50.8,-0.34,10,21.9,0.0,0.24
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:05:00,1761937500,ON,47.34,0.17,7.94,84.52,39.2,48.8,0.15,1,21.7,0.0,0.48
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:10:00,1761937800,ON,50.89,0.25,12.19,84.27,39.2,49.8,-0.1,27,22.77,0.0,0.73
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:15:00,1761938100,ON,58.47,0.33,17.06,83.98,39.1,52.9,0.12,43,25.04,0.0,1.02
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:20:00,1761938400,ON,58.7,0.42,21.95,83.68,38.9,53.6,0.11,20,25.11,0.0,1.32
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:25:00,1761938700,ON,57.91,0.5,26.78,83.39,38.1,55.9,-0.48,1,24.87,0.0,1.61
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:30:00,1761939000,ON,60.86,0.58,31.85,83.09,37.7,53.6,-0.0,46,25.76,0.0,1.91
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:35:00,1761939300,ON,55.63,0.67,36.48,82.81,37.2,51.4,0.26,5,24.19,0.0,2.19
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:40:00,1761939600,ON,50.96,0.75,40.73,82.56,37.0,51.1,0.34,43,22.79,0.0,2.44
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:45:00,1761939900,ON,57.99,0.83,45.56,82.27,37.1,55.3,0.42,7,24.9,0.0,2.73
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:50:00,1761940200,ON,59.12,0.92,50.49,81.97,37.3,53.5,0.34,44,25.23,0.0,3.03
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 00:55:00,1761940500,ON,55.46,1.0,55.11,81.69,37.1,55.0,-0.22,44,24.14,0.0,3.31
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:00:00,1761940800,ON,49.71,1.08,59.25,81.44,37.4,52.8,0.23,32,22.41,0.0,3.56
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:05:00,1761941100,ON,51.41,1.17,63.54,81.19,37.5,52.6,0.41,8,22.92,0.0,3.81
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:10:00,1761941400,ON,53.38,1.25,67.98,80.92,37.3,51.2,-0.19,23,23.51,0.0,4.08
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:15:00,1761941700,ON,56.04,1.33,72.65,80.64,36.6,54.1,0.06,34,24.31,0.0,4.36
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:20:00,1761942000,ON,49.95,1.42,76.82,80.39,37.0,52.6,0.06,13,22.48,0.0,4.61
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:25:00,1761942300,ON,49.85,1.5,80.97,80.14,36.0,52.6,-0.47,12,22.45,0.0,4.86
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:30:00,1761942600,ON,45.08,1.58,84.73,79.92,36.0,51.5,0.06,3,21.02,0.0,5.08
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:35:00,1761942900,ON,51.6,1.67,89.03,79.66,35.7,47.4,0.26,35,22.98,0.0,5.34
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:40:00,1761943200,ON,58.68,1.75,93.92,79.36,36.4,55.4,0.38,41,25.11,0.0,5.64
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:45:00,1761943500,ON,63.61,1.83,99.22,79.05,36.8,55.7,0.3,43,26.58,0.0,5.95
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:50:00,1761943800,ON,62.28,1.92,104.41,78.74,36.6,56.3,-0.38,24,26.18,0.0,6.26
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 01:55:00,1761944100,ON,59.37,2.0,109.36,78.44,36.5,52.6,-0.07,12,25.31,0.0,6.56
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 02:00:00,1761944400,ON,65.14,2.08,114.78,78.11,36.5,54.8,-0.08,36,27.04,0.0,6.89
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 02:05:00,1761944700,ON,68.22,2.17,120.47,77.77,36.2,54.3,-0.33,31,27.97,0.0,7.23
VEH_001,68b89b2d4f65cd554d7511bd,2025-11-01 02:10:00,1761945000,ON,68.52,2.25,126.18,77.43,35.8,59.9,0.47,11,28.06,0.0,7.57
