column_name,min,max,mean,median,variance,value_null_count,missing_or_empty_count,zero_count
latitude.value,27.97928489,47.47585756,36.256137895427806,36.800214055,13.088552298409653,0,1,0
longitude.value,-123.141952,75.6465619,-89.08588185425135,-119.82482565000001,4505.267889415674,0,1,0
engineHours.value,1.1,960499.7,53184.697360703816,12604.8,24270138845.08108,0,34,0
odometer.value,12.0,1755313.0,506504.8567251462,509328.5,58666066863.0967,0,33,0
direction.value,-1.0,359.6451795,179.82799857109845,180.0,9100.362242003708,0,50,11
speed.value,-2.24,123.03,17.786657223796034,4.34,714.5276081122843,0,22,130
engineCoolantTemperature.value,35.6,770.0,345.33362445414843,365.0,5547.087729349575,0,146,0
engineOilPressure.value,3.1,100.0,26.263513513513512,14.1,794.5771694998165,0,153,0
fuelLevel.value,0.0,99.2,62.630476190476195,68.0,554.5318897243108,0,165,5
fuelTemperature.value,17.53,129.128,76.16279295154185,79.97,545.4292223772952,0,148,0
engineCoolantLevel.value,39.2,100.0,39.496585365853655,39.2,18.032390243902434,0,170,0
engineIntakeTemperature.value,99.32,287.24,188.04799999999997,180.32,2952.5262171428576,0,360,0
engineOilTemperature.value,88.808,454.586,369.705506122449,397.4,5524.173024041941,0,81,0
defLevel.value,7.4,86.8,30.08010204081633,30.6,79.30785845107275,0,179,0
defTankTemp.value,25.0,150.8,93.80714285714286,96.8,354.16138461538463,0,179,0
metaData.driverBehavior.longitudinalAcceleration_ms2,-1.2,0.9,-0.024576271186440672,0.0,0.03144212661161814,0,257,91
metaData.driverBehavior.steeringWheelAngle_deg,-2.461,3.02,0.07038333333333334,0.017499999999999998,0.6845019014124293,0,315,2
metaData.driverBehavior.brakePosition_pct,0.0,57.6,2.303225806451613,0.0,80.78523532522476,0,313,56
metaData.driverBehavior.cruiseSetSpeed_kph,0.0,115.0,75.29411764705883,99.0,1900.3351158645276,0,341,8
metaData.driverBehavior.acceleratorPosition_pct,0.0,100.0,19.28571428571429,0.0,1125.8296729776246,0,291,55
metaData.eldEngineRecord.tripFuel,3154.8,496435.5,206092.25818181818,201135.2,11195632835.716183,0,320,0
metaData.eldEngineRecord.chargeCoolerTemp,0.0,46.5,2.847128712871287,0.0,74.88778867326731,0,274,88
metaData.eldEngineRecord.fuelTemp,0.87,53.71,24.677857142857142,22.405,146.24067532467532,0,319,0
metaData.eldEngineRecord.intakePressure,0.0,200.0,50.827586206896555,26.0,3491.373260738051,0,317,8
metaData.eldEngineRecord.engineCoolantTemp,-40.0,91.0,78.63157894736842,86.0,813.1296992481203,0,318,0
metaData.eldEngineRecord.oilPressure,0.0,424.0,72.57407407407408,36.0,8728.852900069882,0,321,2
metaData.eldEngineRecord.load_pct,0.0,100.0,28.87323943661972,11.0,1046.5979879275656,0,304,16
metaData.eldEngineRecord.engineCoolantLevel,100.0,100.0,100.0,100.0,0.0,0,321,0
metaData.eldEngineRecord.turboRpm,0.0,96828.0,39691.48148148148,33122.0,618554428.405311,0,321,2
metaData.eldEngineRecord.intakeTemp,-5.0,53.0,18.5,22.0,496.27777777777777,0,365,0
metaData.eldEngineRecord.massAirFlow_galPerSec,0.0,1559.15,500.1136363636364,426.55,135625.19661616161,0,320,5
metaData.eldEngineRecord.drivingFuelEconomy,0.0,3.546,1.6555049504950496,2.845,2.4258473124752475,0,274,47
metaData.eldEngineRecord.engineOilTemp,59.46,110.34,96.57814285714286,98.34,112.87117186335404,0,305,0
metaData.eldFuelRecord.idleTimeHours,0.0,10772.2,2180.757857142857,1423.375,6531645.618959111,0,305,1
metaData.eldFuelRecord.totalFuelConsumedLiters,73.0,496435.5,219987.39655172414,238467.0,11214717108.568058,0,317,0
metaData.eldFuelRecord.fuelRateLitersPerHours,0.0,75.7,16.502142857142857,4.925,424.3512634575569,0,305,9
metaData.eldFuelRecord.idleFuelConsumedLiters,983.5,25292.5,8001.067307692308,7627.0,21965882.627733782,0,323,0
metaData.eldFuelRecord.fuelIntegratedLiters,4.027,79038.391,2847.2721428571426,353.96950000000004,123187384.96624349,0,305,0
metaData.eldFuelRecord.fuelPerc,0.0,99.2,61.112500000000004,68.0,960.0531746031746,0,311,9
metaData.eldEmissionRecord.defFluidLevel,28.8,100.0,80.94545454545455,86.4,420.9028956228955,0,320,0
metaData.eldEmissionRecord.defTankTemp,5.0,63.0,36.836363636363636,41.0,104.8060606060606,0,320,0
metaData.eldEmissionRecord.exhaustTemp1,-40.0,315.06,212.51648148148146,216.635,5325.664019461915,0,321,0
metaData.eldEmissionRecord.noxOutlet,-11.0,520.0,33.678000000000004,2.5,9738.833179591837,0,325,5
metaData.eldEmissionRecord.afterTreatmentFuelPressure,4980.0,110000.0,27238.14814814815,11840.0,941242388.9587702,0,321,0
metaData.eldEmissionRecord.dpfDifferentialPressure,0.0,6.3,1.8909090909090909,1.2,3.1945454545454544,0,320,5
metaData.eldEmissionRecord.noxInlet,-100.0,896.0,276.14599999999996,156.5,78586.5776367347,0,325,1
