tenantId,vehicle_count,vehicleIds
6329cdf541c5047250e3d821,22,"684281638f3bb2e3d5d38572, 6881daa5c77eecae8d7f4bb7, 68b80b4f4f65cd554d7502b0, 68f87df90c2bdff8805b85ba, 6849511cf38dc2543d247f0e, 68b9498d4f65cd554d752169, 686409cd2aaca768277b33af, 68dcd47349628e5d50e7d9a0, 68d2f042d6b02ee55f482561, 68e26528d82ec9e365047fa1, 68f5dc954dfbac9bd9919e56, 68f73725049c2b25917c4662, 685cd24194c5eb5cef409b75, 68d6755c66ca541d1de9440a, 68c156654f65cd554d756f43, 68c016e44f65cd554d7565c1, 68dd22165c02e69671aab4cd, 68f8765a0c2bdff8805b7477, 68be607a4f65cd554d755f0c, 68f73c5e049c2b25917c4c48, 68dd20285c02e69671aab346, 686b6385a2a58a0379e78662"
683d750e399a79a1753b7886,25,"68e8a2707eef911ea970d167, 68df998bc5d1f6311e833812, 68f0e950f1aa40d977b75362, 68e3bc1df0da71ba232941c0, 68ee6060fec629007c4a43ac, 68df7734c5d1f6311e83258a, 68f8770a0c2bdff8805b76cd, 68df8728c5d1f6311e8331c3, 68eca5a49e43e80e1116a118, 68de31bb02b2975ddae28c04, 68e8a0b6ba833e33b532f374, 68f0f5ee3859f1be91e59f29, 68f0fe403859f1be91e5cda8, 68e3bd34f0da71ba23294320, 68e36b5316639e8a78f3ab2d, 684138f351f3d330ba335198, 687927b674cd6f45830642d6, 68db633949628e5d50e7b06a, 68df739ec5d1f6311e832135, 68de33a902b2975ddae28d48, 68df6917c5d1f6311e831779, 68db80b049628e5d50e7b5fa, 68db7dd049628e5d50e7b5cf, 68e3bfa0f0da71ba23294769, 68e8a3547eef911ea970d32b"
683e89ee399a79a1753b85b5,1,68496aaef38dc2543d248078
68826aa1d152b9ab2f41b674,2,"688ae0ae6e8600cbe1a878a2, 688ac3ca6e8600cbe1a876ae"
68a90f46e73919af2fccdd77,9,"68b89e444f65cd554d751336, 68b774504f65cd554d74f57e, 68b89f2b4f65cd554d751362, 68b89e7b4f65cd554d751342, 68b8ca1f4f65cd554d7515ae, 68b89eb74f65cd554d75134e, 692dffa1da73be8e07e49fb0, 68b8c8d84f65cd554d751559, 68b8ca494f65cd554d7515b7"
68c2a459bc89e445bb70ef89,4,"68c2b89fbc89e445bb70f304, 68c2b9fbbc89e445bb70f37b, 68c2b9dabc89e445bb70f36c, 68c2b8e4bc89e445bb70f32d"
68c89234bc89e445bb7114f5,1,68cf2d8725b5590dd4e8a61a
68c893d8bc89e445bb711533,3,"68cf0f5525b5590dd4e8a2ed, 68cf155c25b5590dd4e8a479, 6949d8eba2c836c23930a649"
68ccb0ebc280d8be9b0f5c4a,77,"68e4dc3bb56bc4691e8be372, 68e137e9ff82187deafb7161, 68e4dc3bb56bc4691e8be3b6, 68e4dc3bb56bc4691e8be3b9, 68e4dc3bb56bc4691e8be3d5, 68e436aa57f2617baafbb3bd, 68e4dc3bb56bc4691e8be369, 68e4dc3bb56bc4691e8be38b, 68e4dc3bb56bc4691e8be37f, 68e4dc3bb56bc4691e8be378, 68e4dc3bb56bc4691e8be3c1, 68e4dc3bb56bc4691e8be3e4, 68e4dc3bb56bc4691e8be3f0, 68e4dc3bb56bc4691e8be375, 68e4dc3bb56bc4691e8be401, 68e4dc3bb56bc4691e8be3a4, 68cd89fec280d8be9b0f77f0, 68e4dc3cb56bc4691e8be418, 68e4dc3bb56bc4691e8be406, 692f49c0f2e39d7495d0ac53, 68e4dc3cb56bc4691e8be423, 68e4dc3bb56bc4691e8be3ad, 68e4dc3bb56bc4691e8be3ed, 68e4dc3bb56bc4691e8be396, 68e4dc3bb56bc4691e8be39c, 68e4dc3bb56bc4691e8be3d2, 68e4dc3cb56bc4691e8be420, 68e4dc3bb56bc4691e8be36c, 68e43cc1032bd16c87d4b6d8, 68e4dc3bb56bc4691e8be3cb, 68e4dc3bb56bc4691e8be3ce, 68e4dc3bb56bc4691e8be38e, 68e4dc3bb56bc4691e8be3e7, 68e4dc3bb56bc4691e8be3b0, 68e0a002ff82187deafb5939, 68e4dc3bb56bc4691e8be37b, 68e4dc3bb56bc4691e8be3aa, 68e02d16ff82187deafb3051, 68e4dc3bb56bc4691e8be3db, 68e4dc3bb56bc4691e8be3bc, 68e4dc3cb56bc4691e8be41d, 68e4dc3bb56bc4691e8be412, 68e4dc3bb56bc4691e8be3e1, 68e4dc3bb56bc4691e8be415, 68e138beff82187deafb7211, 68cd88f1c280d8be9b0f7721, 68e4dc3bb56bc4691e8be3c4, 68e43a8257f2617baafbb52c, 68e4dc3bb56bc4691e8be40e, 68e4dc3bb56bc4691e8be3f8, 68e4dc3bb56bc4691e8be3ea, 68e4dc3bb56bc4691e8be385, 68e4dc3bb56bc4691e8be3fb, 68e4dc3cb56bc4691e8be429, 68e4dc3bb56bc4691e8be3a7, 68e4dc3bb56bc4691e8be399, 68e4dc3bb56bc4691e8be388, 68e4dc3bb56bc4691e8be39f, 68e4dc3bb56bc4691e8be36f, 68e080e8ff82187deafb4885, 68e1385eff82187deafb716e, 68e4dc3bb56bc4691e8be3de, 68e4dc3bb56bc4691e8be382, 68e4dc3bb56bc4691e8be3d8, 68e4dc3bb56bc4691e8be3c8, 68e448df032bd16c87d4bcab, 68e4dc3bb56bc4691e8be366, 68e4dc3bb56bc4691e8be393, 68e44200032bd16c87d4b96f, 68e4dc3bb56bc4691e8be3b3, 68e4dc3bb56bc4691e8be3fe, 68e4dc3bb56bc4691e8be409, 68e4dc3cb56bc4691e8be42c, 695d407ddb426e5560e68f53, 69718b7c43fea929ac4a15f0, 68e4dc3cb56bc4691e8be426, 6972610443fea929ac507b18"
68d23cb8bf9e173400c0eaa0,2,"6920ffc9ab229aba406276fb, 6924a1abc589050f89f7eb89"
